GEO_ID,GEO_ID2,tract20,tract20_nbhd
1400000US25025092400,25025092400,"Census Tract 924, Suffolk County, Massachusetts",Dorchester
1400000US25025100100,25025100100,"Census Tract 1001, Suffolk County, Massachusetts",Dorchester
1400000US25025100200,25025100200,"Census Tract 1002, Suffolk County, Massachusetts",Dorchester
1400000US25025100300,25025100300,"Census Tract 1003, Suffolk County, Massachusetts",Dorchester
1400000US25025100400,25025100400,"Census Tract 1004, Suffolk County, Massachusetts",Dorchester
1400000US25025100500,25025100500,"Census Tract 1005, Suffolk County, Massachusetts",Dorchester
1400000US25025100601,25025100601,"Census Tract 1006.01, Suffolk County, Massachusetts",Dorchester
1400000US25025100603,25025100603,"Census Tract 1006.03, Suffolk County, Massachusetts",Dorchester
1400000US25025100700,25025100700,"Census Tract 1007, Suffolk County, Massachusetts",Dorchester
1400000US25025100800,25025100800,"Census Tract 1008, Suffolk County, Massachusetts",Dorchester
1400000US25025100900,25025100900,"Census Tract 1009, Suffolk County, Massachusetts",Mattapan
1400000US25025101001,25025101001,"Census Tract 1010.01, Suffolk County, Massachusetts",Mattapan
1400000US25025101002,25025101002,"Census Tract 1010.02, Suffolk County, Massachusetts",Mattapan
1400000US25025101101,25025101101,"Census Tract 1011.01, Suffolk County, Massachusetts",Mattapan
1400000US25025101102,25025101102,"Census Tract 1011.02, Suffolk County, Massachusetts",Mattapan
1400000US25025110104,25025110104,"Census Tract 1101.04, Suffolk County, Massachusetts",Roslindale
1400000US25025110105,25025110105,"Census Tract 1101.05, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025110106,25025110106,"Census Tract 1101.06, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025110201,25025110201,"Census Tract 1102.01, Suffolk County, Massachusetts",Roslindale
1400000US25025110301,25025110301,"Census Tract 1103.01, Suffolk County, Massachusetts",Roslindale
1400000US25025110401,25025110401,"Census Tract 1104.01, Suffolk County, Massachusetts",Roslindale
1400000US25025110403,25025110403,"Census Tract 1104.03, Suffolk County, Massachusetts",Roslindale
1400000US25025110501,25025110501,"Census Tract 1105.01, Suffolk County, Massachusetts",Roslindale
1400000US25025110502,25025110502,"Census Tract 1105.02, Suffolk County, Massachusetts",Roslindale
1400000US25025110601,25025110601,"Census Tract 1106.01, Suffolk County, Massachusetts",West Roxbury
1400000US25025110607,25025110607,"Census Tract 1106.07, Suffolk County, Massachusetts",Roslindale
1400000US25025120103,25025120103,"Census Tract 1201.03, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025120104,25025120104,"Census Tract 1201.04, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025120105,25025120105,"Census Tract 1201.05, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025120201,25025120201,"Census Tract 1202.01, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025120301,25025120301,"Census Tract 1203.01, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025120400,25025120400,"Census Tract 1204, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025120500,25025120500,"Census Tract 1205, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025120600,25025120600,"Census Tract 1206, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025120700,25025120700,"Census Tract 1207, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025130101,25025130101,"Census Tract 1301.01, Suffolk County, Massachusetts",West Roxbury
1400000US25025130200,25025130200,"Census Tract 1302, Suffolk County, Massachusetts",West Roxbury
1400000US25025130300,25025130300,"Census Tract 1303, Suffolk County, Massachusetts",West Roxbury
1400000US25025130402,25025130402,"Census Tract 1304.02, Suffolk County, Massachusetts",West Roxbury
1400000US25025130404,25025130404,"Census Tract 1304.04, Suffolk County, Massachusetts",West Roxbury
1400000US25025130406,25025130406,"Census Tract 1304.06, Suffolk County, Massachusetts",West Roxbury
1400000US25025140102,25025140102,"Census Tract 1401.02, Suffolk County, Massachusetts",Hyde Park
